Tm,Division,W,L,T,W-L%,Pts,PtsO,PtDif,Year
Miami Dolphins,AFC East,6,2,0,0.75,271,204,67,2023
Buffalo Bills,AFC East,5,3,0,0.625,222,136,86,2023
New York Jets,AFC East,4,3,0,0.571,126,129,-3,2023
New England Patriots,AFC East,2,6,0,0.25,118,208,-90,2023
Baltimore Ravens,AFC North,6,2,0,0.75,202,121,81,2023
Cincinnati Bengals,AFC North,4,3,0,0.571,131,144,-13,2023
Cleveland Browns,AFC North,4,3,0,0.571,154,139,15,2023
Pittsburgh Steelers,AFC North,4,3,0,0.571,113,147,-34,2023
Jacksonville Jaguars,AFC South,6,2,0,0.75,193,156,37,2023
Houston Texans,AFC South,3,4,0,0.429,148,128,20,2023
Tennessee Titans,AFC South,3,4,0,0.429,132,140,-8,2023
Indianapolis Colts,AFC South,3,5,0,0.375,205,229,-24,2023
Kansas City Chiefs,AFC West,6,2,0,0.75,187,129,58,2023
Los Angeles Chargers,AFC West,3,4,0,0.429,174,168,6,2023
Las Vegas Raiders,AFC West,3,5,0,0.375,126,187,-61,2023
Denver Broncos,AFC West,3,5,0,0.375,172,226,-54,2023
Philadelphia Eagles,NFC East,7,1,0,0.875,224,172,52,2023
Dallas Cowboys,NFC East,5,2,0,0.714,197,120,77,2023
Washington Commanders,NFC East,3,5,0,0.375,171,228,-57,2023
New York Giants,NFC East,2,6,0,0.25,95,187,-92,2023
Detroit Lions,NFC North,6,2,0,0.75,200,165,35,2023
Minnesota Vikings,NFC North,4,4,0,0.5,175,162,13,2023
Green Bay Packers,NFC North,2,5,0,0.286,140,156,-16,2023
Chicago Bears,NFC North,2,6,0,0.25,171,218,-47,2023
New Orleans Saints,NFC South,4,4,0,0.5,171,154,17,2023
Atlanta Falcons,NFC South,4,4,0,0.5,138,161,-23,2023
Tampa Bay Buccaneers,NFC South,3,4,0,0.429,121,128,-7,2023
Carolina Panthers,NFC South,1,6,0,0.143,127,199,-72,2023
Seattle Seahawks,NFC West,5,2,0,0.714,168,138,30,2023
San Francisco 49ers,NFC West,5,3,0,0.625,218,140,78,2023
Los Angeles Rams,NFC West,3,5,0,0.375,175,184,-9,2023
Arizona Cardinals,NFC West,1,7,0,0.125,151,213,-62,2023
Buffalo Bills,AFC East,13,3,0,0.813,455,286,169,2022
Miami Dolphins,AFC East,9,8,0,0.529,397,399,-2,2022
New England Patriots,AFC East,8,9,0,0.471,364,347,17,2022
New York Jets,AFC East,7,10,0,0.412,296,316,-20,2022
Cincinnati Bengals,AFC North,12,4,0,0.75,418,322,96,2022
Baltimore Ravens,AFC North,10,7,0,0.588,350,315,35,2022
Pittsburgh Steelers,AFC North,9,8,0,0.529,308,346,-38,2022
Cleveland Browns,AFC North,7,10,0,0.412,361,381,-20,2022
Jacksonville Jaguars,AFC South,9,8,0,0.529,404,350,54,2022
Tennessee Titans,AFC South,7,10,0,0.412,298,359,-61,2022
Indianapolis Colts,AFC South,4,12,1,0.265,289,427,-138,2022
Houston Texans,AFC South,3,13,1,0.206,289,420,-131,2022
Kansas City Chiefs,AFC West,14,3,0,0.824,496,369,127,2022
Los Angeles Chargers,AFC West,10,7,0,0.588,391,384,7,2022
Las Vegas Raiders,AFC West,6,11,0,0.353,395,418,-23,2022
Denver Broncos,AFC West,5,12,0,0.294,287,359,-72,2022
Philadelphia Eagles,NFC East,14,3,0,0.824,477,344,133,2022
Dallas Cowboys,NFC East,12,5,0,0.706,467,342,125,2022
New York Giants,NFC East,9,7,1,0.559,365,371,-6,2022
Washington Commanders,NFC East,8,8,1,0.5,321,343,-22,2022
Minnesota Vikings,NFC North,13,4,0,0.765,424,427,-3,2022
Detroit Lions,NFC North,9,8,0,0.529,453,427,26,2022
Green Bay Packers,NFC North,8,9,0,0.471,370,371,-1,2022
Chicago Bears,NFC North,3,14,0,0.176,326,463,-137,2022
Tampa Bay Buccaneers,NFC South,8,9,0,0.471,313,358,-45,2022
Carolina Panthers,NFC South,7,10,0,0.412,347,374,-27,2022
New Orleans Saints,NFC South,7,10,0,0.412,330,345,-15,2022
Atlanta Falcons,NFC South,7,10,0,0.412,365,386,-21,2022
San Francisco 49ers,NFC West,13,4,0,0.765,450,277,173,2022
Seattle Seahawks,NFC West,9,8,0,0.529,407,401,6,2022
Los Angeles Rams,NFC West,5,12,0,0.294,307,384,-77,2022
Arizona Cardinals,NFC West,4,13,0,0.235,340,449,-109,2022
Buffalo Bills,AFC East,11,6,0,0.647,483,289,194,2021
New England Patriots,AFC East,10,7,0,0.588,462,303,159,2021
Miami Dolphins,AFC East,9,8,0,0.529,341,373,-32,2021
New York Jets,AFC East,4,13,0,0.235,310,504,-194,2021
Cincinnati Bengals,AFC North,10,7,0,0.588,460,376,84,2021
Pittsburgh Steelers,AFC North,9,7,1,0.559,343,398,-55,2021
Cleveland Browns,AFC North,8,9,0,0.471,349,371,-22,2021
Baltimore Ravens,AFC North,8,9,0,0.471,387,392,-5,2021
Tennessee Titans,AFC South,12,5,0,0.706,419,354,65,2021
Indianapolis Colts,AFC South,9,8,0,0.529,451,365,86,2021
Houston Texans,AFC South,4,13,0,0.235,280,452,-172,2021
Jacksonville Jaguars,AFC South,3,14,0,0.176,253,457,-204,2021
Kansas City Chiefs,AFC West,12,5,0,0.706,480,364,116,2021
Las Vegas Raiders,AFC West,10,7,0,0.588,374,439,-65,2021
Los Angeles Chargers,AFC West,9,8,0,0.529,474,459,15,2021
Denver Broncos,AFC West,7,10,0,0.412,335,322,13,2021
Dallas Cowboys,NFC East,12,5,0,0.706,530,358,172,2021
Philadelphia Eagles,NFC East,9,8,0,0.529,444,385,59,2021
Washington Football Team,NFC East,7,10,0,0.412,335,434,-99,2021
New York Giants,NFC East,4,13,0,0.235,258,416,-158,2021
Green Bay Packers,NFC North,13,4,0,0.765,450,371,79,2021
Minnesota Vikings,NFC North,8,9,0,0.471,425,426,-1,2021
Chicago Bears,NFC North,6,11,0,0.353,311,407,-96,2021
Detroit Lions,NFC North,3,13,1,0.206,325,467,-142,2021
Tampa Bay Buccaneers,NFC South,13,4,0,0.765,511,353,158,2021
New Orleans Saints,NFC South,9,8,0,0.529,364,335,29,2021
Atlanta Falcons,NFC South,7,10,0,0.412,313,459,-146,2021
Carolina Panthers,NFC South,5,12,0,0.294,304,404,-100,2021
Los Angeles Rams,NFC West,12,5,0,0.706,460,372,88,2021
Arizona Cardinals,NFC West,11,6,0,0.647,449,366,83,2021
San Francisco 49ers,NFC West,10,7,0,0.588,427,365,62,2021
Seattle Seahawks,NFC West,7,10,0,0.412,395,366,29,2021
Buffalo Bills,AFC East,13,3,0,0.813,501,375,126,2020
Miami Dolphins,AFC East,10,6,0,0.625,404,338,66,2020
New England Patriots,AFC East,7,9,0,0.438,326,353,-27,2020
New York Jets,AFC East,2,14,0,0.125,243,457,-214,2020
Pittsburgh Steelers,AFC North,12,4,0,0.75,416,312,104,2020
Baltimore Ravens,AFC North,11,5,0,0.688,468,303,165,2020
Cleveland Browns,AFC North,11,5,0,0.688,408,419,-11,2020
Cincinnati Bengals,AFC North,4,11,1,0.281,311,424,-113,2020
Tennessee Titans,AFC South,11,5,0,0.688,491,439,52,2020
Indianapolis Colts,AFC South,11,5,0,0.688,451,362,89,2020
Houston Texans,AFC South,4,12,0,0.25,384,464,-80,2020
Jacksonville Jaguars,AFC South,1,15,0,0.063,306,492,-186,2020
Kansas City Chiefs,AFC West,14,2,0,0.875,473,362,111,2020
Las Vegas Raiders,AFC West,8,8,0,0.5,434,478,-44,2020
Los Angeles Chargers,AFC West,7,9,0,0.438,384,426,-42,2020
Denver Broncos,AFC West,5,11,0,0.313,323,446,-123,2020
Washington Football Team,NFC East,7,9,0,0.438,335,329,6,2020
New York Giants,NFC East,6,10,0,0.375,280,357,-77,2020
Dallas Cowboys,NFC East,6,10,0,0.375,395,473,-78,2020
Philadelphia Eagles,NFC East,4,11,1,0.281,334,418,-84,2020
Green Bay Packers,NFC North,13,3,0,0.813,509,369,140,2020
Chicago Bears,NFC North,8,8,0,0.5,372,370,2,2020
Minnesota Vikings,NFC North,7,9,0,0.438,430,475,-45,2020
Detroit Lions,NFC North,5,11,0,0.313,377,519,-142,2020
New Orleans Saints,NFC South,12,4,0,0.75,482,337,145,2020
Tampa Bay Buccaneers,NFC South,11,5,0,0.688,492,355,137,2020
Carolina Panthers,NFC South,5,11,0,0.313,350,402,-52,2020
Atlanta Falcons,NFC South,4,12,0,0.25,396,414,-18,2020
Seattle Seahawks,NFC West,12,4,0,0.75,459,371,88,2020
Los Angeles Rams,NFC West,10,6,0,0.625,372,296,76,2020
Arizona Cardinals,NFC West,8,8,0,0.5,410,367,43,2020
San Francisco 49ers,NFC West,6,10,0,0.375,376,390,-14,2020
New England Patriots,AFC East,12,4,0,0.75,420,225,195,2019
Buffalo Bills,AFC East,10,6,0,0.625,314,259,55,2019
New York Jets,AFC East,7,9,0,0.438,276,359,-83,2019
Miami Dolphins,AFC East,5,11,0,0.313,306,494,-188,2019
Baltimore Ravens,AFC North,14,2,0,0.875,531,282,249,2019
Pittsburgh Steelers,AFC North,8,8,0,0.5,289,303,-14,2019
Cleveland Browns,AFC North,6,10,0,0.375,335,393,-58,2019
Cincinnati Bengals,AFC North,2,14,0,0.125,279,420,-141,2019
Houston Texans,AFC South,10,6,0,0.625,378,385,-7,2019
Tennessee Titans,AFC South,9,7,0,0.563,402,331,71,2019
Indianapolis Colts,AFC South,7,9,0,0.438,361,373,-12,2019
Jacksonville Jaguars,AFC South,6,10,0,0.375,300,397,-97,2019
Kansas City Chiefs,AFC West,12,4,0,0.75,451,308,143,2019
